sample_name,namespace,project_name,type,location
demo-biocproject,demo,biocproject,path,../pephub/examples/demo/BiocProject/project_config.yaml
demo-piface,demo,piface,path,../pephub/examples/demo/piface/project_config.yaml
demo-remove,demo,remove,path,../pephub/examples/demo/remove/project_config.yaml
demo-amendments1,demo,amendments1,path,../pephub/examples/demo/amendments1/project_config.yaml
demo-append,demo,append,path,../pephub/examples/demo/append/project_config.yaml
demo-subtable1,demo,subtable1,path,../pephub/examples/demo/subtable1/project_config.yaml
demo-subtables,demo,subtables,path,../pephub/examples/demo/subtables/project_config.yaml
demo-basic,demo,basic,path,../pephub/examples/demo/basic/project_config.yaml
demo-derive_imply,demo,derive_imply,path,../pephub/examples/demo/derive_imply/project_config.yaml
demo-automerge,demo,automerge,path,../pephub/examples/demo/automerge/project_config.yaml
demo-imports,demo,imports,path,../pephub/examples/demo/imports/project_config.yaml
demo-biocproject_remote,demo,biocproject_remote,path,../pephub/examples/demo/BiocProject_remote/project_config.yaml
demo-derive,demo,derive,path,../pephub/examples/demo/derive/project_config.yaml
demo-duplicate,demo,duplicate,path,../pephub/examples/demo/duplicate/project_config.yaml
demo-noname,demo,noname,path,../pephub/examples/demo/noname/project_config.yaml
demo-subtable3,demo,subtable3,path,../pephub/examples/demo/subtable3/project_config.yaml
demo-amendments2,demo,amendments2,path,../pephub/examples/demo/amendments2/project_config.yaml
demo-subtable4,demo,subtable4,path,../pephub/examples/demo/subtable4/project_config.yaml
demo-subtable5,demo,subtable5,path,../pephub/examples/demo/subtable5/project_config.yaml
demo-subtable2,demo,subtable2,path,../pephub/examples/demo/subtable2/project_config.yaml
demo-custom_index,demo,custom_index,path,../pephub/examples/demo/custom_index/project_config.yaml
demo-biocproject_exceptions,demo,biocproject_exceptions,path,../pephub/examples/demo/BiocProject_exceptions/project_config.yaml
demo-node_alias,demo,node_alias,path,../pephub/examples/demo/node_alias/project_config.yaml
demo-imply,demo,imply,path,../pephub/examples/demo/imply/project_config.yaml
geo-gse97410,geo,gse97410,path,../pephub/examples/geo/GSE97410/GSE97410_samples.yaml
geo-gse131026,geo,gse131026,path,../pephub/examples/geo/GSE131026/GSE131026_samples.yaml
geo-gse141351,geo,gse141351,path,../pephub/examples/geo/GSE141351/GSE141351_samples.yaml
geo-gse133785,geo,gse133785,path,../pephub/examples/geo/GSE133785/GSE133785_samples.yaml
geo-gse102803,geo,gse102803,path,../pephub/examples/geo/GSE102803/GSE102803_samples.yaml
geo-gse144840,geo,gse144840,path,../pephub/examples/geo/GSE144840/GSE144840_samples.yaml
geo-gse127511,geo,gse127511,path,../pephub/examples/geo/GSE127511/GSE127511_samples.yaml
geo-gse102804,geo,gse102804,path,../pephub/examples/geo/GSE102804/GSE102804_samples.yaml
geo-gse100750,geo,gse100750,path,../pephub/examples/geo/GSE100750/GSE100750_samples.yaml
geo-gse101426,geo,gse101426,path,../pephub/examples/geo/GSE101426/GSE101426_samples.yaml
geo-gse102805,geo,gse102805,path,../pephub/examples/geo/GSE102805/GSE102805_samples.yaml
geo-gse135026,geo,gse135026,path,../pephub/examples/geo/GSE135026/GSE135026_samples.yaml
geo-gse141350,geo,gse141350,path,../pephub/examples/geo/GSE141350/GSE141350_samples.yaml
geo-gse143256,geo,gse143256,path,../pephub/examples/geo/GSE143256/GSE143256_samples.yaml
geo-gse99311,geo,gse99311,path,../pephub/examples/geo/GSE99311/GSE99311_samples.yaml
geo-gse132430,geo,gse132430,path,../pephub/examples/geo/GSE132430/GSE132430_samples.yaml
geo-gse142604,geo,gse142604,path,../pephub/examples/geo/GSE142604/GSE142604_samples.yaml
geo-gse96088,geo,gse96088,path,../pephub/examples/geo/GSE96088/GSE96088_samples.yaml
geo-gse121351,geo,gse121351,path,../pephub/examples/geo/GSE121351/GSE121351_samples.yaml
geo-gse143145,geo,gse143145,path,../pephub/examples/geo/GSE143145/GSE143145_samples.yaml
geo-gse101966,geo,gse101966,path,../pephub/examples/geo/GSE101966/GSE101966_samples.yaml
geo-gse128272,geo,gse128272,path,../pephub/examples/geo/GSE128272/GSE128272_samples.yaml
geo-gse131956,geo,gse131956,path,../pephub/examples/geo/GSE131956/GSE131956_samples.yaml
geo-gse132749,geo,gse132749,path,../pephub/examples/geo/GSE132749/GSE132749_samples.yaml
geo-gse109398,geo,gse109398,path,../pephub/examples/geo/GSE109398/GSE109398_samples.yaml
geo-gse83968,geo,gse83968,path,../pephub/examples/geo/GSE83968/GSE83968_samples.yaml
geo-gse124224,geo,gse124224,path,../pephub/examples/geo/GSE124224/GSE124224_samples.yaml
geo-gse142031,geo,gse142031,path,../pephub/examples/geo/GSE142031/GSE142031_samples.yaml
geo-gse134864,geo,gse134864,path,../pephub/examples/geo/GSE134864/GSE134864_samples.yaml
geo-gse81274,geo,gse81274,path,../pephub/examples/geo/GSE81274/GSE81274_samples.yaml
geo-gse144926,geo,gse144926,path,../pephub/examples/geo/GSE144926/GSE144926_samples.yaml
geo-gse101974,geo,gse101974,path,../pephub/examples/geo/GSE101974/GSE101974_samples.yaml
